id,adresse,postcode,city
"104306","235 boulevard de Tournai les Terrasses du Stade Lot N°8 Grand Stade Lille Métropole 59650 Villeneuve-d'Ascq","59650","Villeneuve-d'Ascq"
"104386","vallée Bt Deauville chemin du Marais de Cauffry Porte 4 & 5 60290 Cauffry","60290","Cauffry"
"105618","6 rue du Pont Rouge - Zone Artisanale la Plaine 11100 Montredon-des-Corbières","11100","Montredon-des-Corbières"
"106638","ZAC de la Hirtais 44160 Sainte-Anne-sur-Brivet","44160","Sainte-Anne-sur-Brivet"
"107353","Immeuble Gunung Kawi 12 Lotissem 97170 Petit Bourg","97170","Petit Bourg"
"107494","Centre Commercial les Tulipiers 27950 Saint-Marcel","27950","Saint-Marcel"
"107707","route de Caudry 59980 Berty","59980","Berty"
"108137","rue de l'Epine-Zone Industrielle d'Etriché 49500 Segré en Anjou bleu","49500","Segré en Anjou bleu"
"109075","route de Caudry 59980 Berty","59980","Berty"
"109412","10 rue de la Fontaine à l’Auge, ZAC du Breuil 57245 Jury","57245","Jury"
"109812","rue des Hauts Fourneaux, ZI du Po 57300 Hagondange","57300","Hagondange"
"110630","Cité de la Voile Lorient la Base 56100 Lorient","56100","Lorient"
"111426","9 rue Sainte-Rose Résidence les jardins d'Ugo appt 69 97410 Saint-Pierre","97410","Saint-Pierre"
"111439","185 rue des Chênes ZI la Saussaye 45590 Saint-Cyr-en-Val","45590","Saint-Cyr-en-Val"
"111498","19 Rue Saint Laurent - Residence Elise 2 - Local11 97434 Saint-Paul","97434","Saint-Paul"
"112523","- Pôle d'Activité du Centre Mosellan DOMOFUTURA - 57340 MORHANGE","57340","MORHANGE"
"112886","Parc d'Activités des Balmes Dauphinoises 38890 SAINT-CHEF","38890","SAINT-CHEF"
"114080","""pôle Nautisme"" 33120 Arcachon","33120","Arcachon"
"115054","3 rue compagnie des indes Zac des Gregues 97480 Saint-Joseph","97480","Saint-Joseph"
"115076","60 allée de Bellefontaine Batiment G Appartement 4 31100 Toulouse","31100","Toulouse"
"115874","rue Augustin Fresnel Zac les Escarnotières 51000 Châlons-en-Champagne","51000","Châlons-en-Champagne"
"116211","ZAC Centre Urbain Val d'Europe Emplacement K, Eci Val d'Europe, Disneyland 77700 Serris","77700","Serris"
"117485","Zac du Long Buisson 27930 Guichainville","27930","Guichainville"
"118103","-113 rue du Boucher de Perthes - Bat A - rdc 59100 Roubaix","59100","Roubaix"
"119791","Cd 909 95570 Villaines-sous-Bois","95570","Villaines-sous-Bois"
"121253","rue des Gabares Angle rue Gabares Pte Simon 97200 Fort-de-France","97200","Fort-de-France"
"121808","Zone Artisanale la Métairie - Super U 35520 Melesse","35520","Melesse"
"122112","Zone Artisanale du Triangle Vert 35520 La Mézière","35520","La Mézière"
"129963","Chez Vagao Jocelyn 97134 Saint-Louis","97134","Saint-Louis"
"131046","lieudit le Camp Bon 83143 Le val","83143","Le val"
"131501","rue Augustin Fresnel Zac les Escarnotières 51000 Châlons-en-Champagne","51000","Châlons-en-Champagne"
"132525","Station Total Rocade de Petit Bourg 97170 Petit-Bourg","97170","Petit-Bourg"
"132608","zone artisanale de l'Espérance, Saint-Hilaire-de-Loulay 85600 Montaigu Vendee","85600","Montaigu Vendee"
"133411","4 rue Pierre Fontaine - Campus 3 - 91058 Évry Cedex","91058","Évry Cedex"
"133901","27 Residence Howell Center Hameau du Pont 97150 Saint-Martin","97150","Saint-Martin"
"133933","11 rue Marcellin Berthelot ZI de la République 3 86000 Poitiers","86000","Poitiers"
"134164","Stadium Business Center 93200 Saint-Denis","93200","Saint-Denis"
"134777","cité les Hauts du Port Bat Desirade n 37 97200 Fort-de-France","97200","Fort-de-France"
"134781","30 Avenue Stanislas Grimart 97400 Saint-Denis","97400","Saint-Denis"
"135130","3 rue de la Compagnie des Indes Zac des Gregues 97480 Saint-Joseph","97480","Saint-Joseph"
"136340","""Sabaranis"" 09100 Saint-Amadou","09100","Saint-Amadou"
"136536","Chez M PENIN 69006 LYON","69006","LYON"
"136693","résidence le Domaine Bâtiment f.Rch F147 13330 Pélissanne","13330","Pélissanne"
"137515","51F rue Croule barbe square rêne le Gall 75013 Paris","75013","Paris"
"139869","-4 bis rue Gustave Eiffel 37270 Montlouis-sur-Loire","37270","Montlouis-sur-Loire"
